    dBdt_X    dBdt_Z
-9.99900e+03  7.46709e-11 
-4.16259e-12  6.12303e-11 
-2.67498e-12  4.96395e-11 
-1.54443e-12  4.00576e-11 
-6.98544e-13  3.19200e-11 
-1.56052e-13  2.54386e-11 
 1.91894e-13  2.00628e-11 
 3.79972e-13  1.57188e-11 
 4.60275e-13  1.21257e-11 
 4.59921e-13  9.23569e-12 
 4.11210e-13  6.97528e-12 
 3.38234e-13  5.24079e-12 
 2.62881e-13  3.98797e-12 
 1.93052e-13  3.01869e-12 
 1.32525e-13  2.26327e-12 
 8.38760e-14  1.69227e-12 
 4.68870e-14  1.26070e-12 
 2.03194e-14  9.35086e-13 
 2.72956e-15  6.91234e-13 
-7.25536e-15  5.15390e-13 
-1.20617e-14  3.86560e-13 
-1.37602e-14  2.86906e-13 
-1.34677e-14  2.09497e-13 
-1.18772e-14  1.50024e-13 
-9.63140e-15  1.04601e-13 
-9.99900e+03  1.08741e-09 
-9.99900e+03  7.62859e-10 
-9.99900e+03  5.79881e-10 
-9.99900e+03  4.48322e-10 
-9.99900e+03  3.59027e-10 
-9.99900e+03  2.85533e-10 
-9.99900e+03  2.36448e-10 
-9.99900e+03  1.92383e-10 
-9.99900e+03  1.62049e-10 
-9.99900e+03  1.35861e-10 
-9.99900e+03  1.12423e-10 
-9.99900e+03  9.30589e-11 
-9.99900e+03  7.63496e-11 
-4.02851e-12  6.25511e-11 
-2.52807e-12  5.06585e-11 
-1.39701e-12  4.08346e-11 
-5.59943e-13  3.24995e-11 
-3.29972e-14  2.58698e-11 
 2.96593e-13  2.03778e-11 
 4.65710e-13  1.59459e-11 
 5.27619e-13  1.22853e-11 
 5.10678e-13  9.34537e-12 
 4.48114e-13  7.04941e-12 
 3.64252e-13  5.29038e-12 
 2.81216e-13  4.02181e-12 
 2.05754e-13  3.04158e-12 
 1.41150e-13  2.27848e-12 
 8.97300e-14  1.70236e-12 
 5.08925e-14  1.26738e-12 
 2.30998e-14  9.39512e-13 
 4.70498e-15  6.94192e-13 
-5.80138e-15  5.17429e-13 
-1.09666e-14  3.88005e-13 
-1.29357e-14  2.87935e-13 
-1.28533e-14  2.10227e-13 
-1.14268e-14  1.50539e-13 
-9.30977e-15  1.04959e-13 
-9.99900e+03  1.10501e-09 
-9.99900e+03  7.77731e-10 
-9.99900e+03  5.92849e-10 
-9.99900e+03  4.59539e-10 
-9.99900e+03  3.68665e-10 
-9.99900e+03  2.93584e-10 
-9.99900e+03  2.43253e-10 
-9.99900e+03  1.97944e-10 
-9.99900e+03  1.66687e-10 
-9.99900e+03  1.39682e-10 
-9.99900e+03  1.15504e-10 
-9.99900e+03  9.55289e-11 
-9.99900e+03  7.82979e-11 
-3.90681e-12  6.40773e-11 
-2.38582e-12  5.18313e-11 
-1.24952e-12  4.17258e-11 
-4.18650e-13  3.31622e-11 
 9.36615e-14  2.63616e-11 
 4.04959e-13  2.07361e-11 
 5.54682e-13  1.62039e-11 
 5.97546e-13  1.24662e-11 
 5.63319e-13  9.46957e-12 
 4.86281e-13  7.13326e-12 
 3.91045e-13  5.34642e-12 
 2.99998e-13  4.06004e-12 
 2.18683e-13  3.06743e-12 
 1.49862e-13  2.29566e-12 
 9.55924e-14  1.71374e-12 
 5.48695e-14  1.27492e-12 
 2.58394e-14  9.44497e-13 
 6.64057e-15  6.97518e-13 
-4.38049e-15  5.19716e-13 
-9.89676e-15  3.89622e-13 
-1.21295e-14  2.89084e-13 
-1.22512e-14  2.11040e-13 
-1.09840e-14  1.51112e-13 
-8.99263e-15  1.05356e-13 
-9.99900e+03  1.11090e-09 
-9.99900e+03  7.85457e-10 
-9.99900e+03  6.00825e-10 
-9.99900e+03  4.67122e-10 
-9.99900e+03  3.75507e-10 
-9.99900e+03  2.99498e-10 
-9.99900e+03  2.48351e-10 
-9.99900e+03  2.02177e-10 
-9.99900e+03  1.70249e-10 
-9.99900e+03  1.42640e-10 
-9.99900e+03  1.17905e-10 
-9.99900e+03  9.74641e-11 
